# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:13:04.346662
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.994241289951051,13520,1,0.0
1-1,0.994241289951051,70,1,0.0
1-1,0.994241289951051,15,1,0.0
1-1,0.994241289951051,12,1,0.0
1-1,0.994241289951051,9,2,0.0
1-1,0.994241289951051,8,1,0.0
1-1,0.994241289951051,7,2,0.0
1-1,0.994241289951051,6,3,0.0
1-1,0.994241289951051,5,1,0.0
1-1,0.994241289951051,4,8,0.0
1-1,0.994241289951051,3,18,0.0
1-1,0.994241289951051,2,23,0.0
